"swbi","iDeaths","iCases","FTSEMIB","iCoronaVirus","iCoronaVirusNews","iCovid","iCovidNews","iRt","iUnemployment","iUnemploymentNews","iEconomy","iEconomyNews","iGDP","iGDPNews","iStress","iDepression","iHealth","iSolitude","iInsomnia","iResidential","iWorkplace","ipm25","itemperature","iWuhan","iAdultContent","iFB.CLI","iFB.ILI","iFB.MC","iFB.DC","iFB.HF","ilockdown"
NA,NA,NA,22934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,23059.6666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,23185.3333333333,NA,0,0,0,37,38,68,79,46,44,77,76,85,21,58,51,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,0
NA,NA,NA,23311,NA,0,0,0,37.2857142857143,37.2857142857143,58.2857142857143,78.5714285714286,46.7142857142857,43.5714285714286,66,76.5714285714286,83.2857142857143,21.2857142857143,57.8571428571429,52.5714285714286,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,0
NA,NA,NA,23365,NA,0,0,0,37.5714285714286,36.5714285714286,48.5714285714286,78.1428571428571,47.4285714285714,43.1428571428571,55,77.1428571428571,81.5714285714286,21.5714285714286,57.7142857142857,54.1428571428571,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,0
NA,NA,NA,23373,NA,0,0,0,37.8571428571429,35.8571428571429,38.8571428571429,77.7142857142857,48.1428571428571,42.7142857142857,44,77.7142857142857,79.8571428571429,21.8571428571429,57.5714285714286,55.7142857142857,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,0
52.7939959050757,NA,NA,23503,NA,0,0,0,38.1428571428571,35.1428571428571,29.1428571428571,77.2857142857143,48.8571428571429,42.2857142857143,33,78.2857142857143,78.1428571428571,22.1428571428571,57.4285714285714,57.2857142857143,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,0
52.9138818619332,NA,NA,23534,NA,0,0,0,38.4285714285714,34.4285714285714,19.4285714285714,76.8571428571429,49.5714285714286,41.8571428571429,22,78.8571428571429,76.4285714285714,22.4285714285714,57.2857142857143,58.8571428571429,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,0
54.7054040031983,NA,NA,23519.3333333333,NA,0,0,0,38.7142857142857,33.7142857142857,9.71428571428572,76.4285714285714,50.2857142857143,41.4285714285714,11,79.4285714285714,74.7142857142857,22.7142857142857,57.1428571428571,60.4285714285714,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,0
54.3117886607161,NA,NA,23504.6666666667,NA,0,0,0,39,33,0,76,51,41,0,80,73,23,57,62,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,0
55.2856926237441,NA,NA,23490,NA,0,0,0,38.2857142857143,32.8571428571429,6.28571428571429,76.5714285714286,54,40.8571428571429,10.8571428571429,80,74.7142857142857,22.7142857142857,56.1428571428571,61.7142857142857,NA,NA,NA,NA,NA,65.2857142857143,NA,NA,NA,NA,NA,0
55.8987653819352,NA,NA,23782,NA,0,0,0,37.5714285714286,32.7142857142857,12.5714285714286,77.1428571428571,57,40.7142857142857,21.7142857142857,80,76.4285714285714,22.4285714285714,55.2857142857143,61.4285714285714,NA,NA,NA,NA,NA,65.5714285714286,NA,NA,NA,NA,NA,0
56.7625856351081,NA,NA,23578,NA,0,0,0,36.8571428571429,32.5714285714286,18.8571428571429,77.7142857142857,60,40.5714285714286,32.5714285714286,80,78.1428571428571,22.1428571428571,54.4285714285714,61.1428571428571,NA,NA,NA,NA,NA,65.8571428571429,NA,NA,NA,NA,NA,0
56.5409965830095,NA,NA,23481,NA,0,0,0,36.1428571428571,32.4285714285714,25.1428571428571,78.2857142857143,63,40.4285714285714,43.4285714285714,80,79.8571428571429,21.8571428571429,53.5714285714286,60.8571428571429,NA,NA,NA,NA,NA,66.1428571428571,NA,NA,NA,NA,NA,0
57.2529313856801,NA,NA,23589,NA,0,0,0,35.4285714285714,32.2857142857143,31.4285714285714,78.8571428571429,66,40.2857142857143,54.2857142857143,80,81.5714285714286,21.5714285714286,52.7142857142857,60.5714285714286,NA,NA,NA,NA,NA,66.4285714285714,NA,NA,NA,NA,NA,0
56.2892200744851,NA,NA,23547.3333333333,NA,0,0,0,34.7142857142857,32.1428571428571,37.7142857142857,79.4285714285714,69,40.1428571428571,65.1428571428571,80,83.2857142857143,21.2857142857143,51.8571428571429,60.2857142857143,NA,NA,NA,NA,NA,66.7142857142857,NA,NA,NA,NA,NA,0
57.0441861192071,NA,NA,23505.6666666667,NA,0,0,0,34,32,44,80,72,40,76,80,85,21,51,60,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,0
56.320760343364,NA,NA,23464,NA,0,0,0,34.1428571428571,31.7142857142857,44.8571428571429,79.7142857142857,69,39.5714285714286,70.7142857142857,79.1428571428571,85.5714285714286,20.8571428571429,51.7142857142857,58.1428571428571,NA,NA,NA,NA,NA,66.8571428571429,NA,NA,NA,NA,NA,0
55.6930794642997,NA,NA,23329,NA,0,0,0,34.2857142857143,31.4285714285714,45.7142857142857,79.4285714285714,66,39.1428571428571,65.4285714285714,78.2857142857143,86.1428571428571,20.7142857142857,52.4285714285714,56.2857142857143,NA,NA,NA,NA,NA,66.7142857142857,NA,NA,NA,NA,NA,0
54.5094934305044,NA,NA,23352,NA,0,0,0,34.4285714285714,31.1428571428571,46.5714285714286,79.1428571428571,63,38.7142857142857,60.1428571428571,77.4285714285714,86.7142857142857,20.5714285714286,53.1428571428571,54.4285714285714,NA,NA,NA,NA,NA,66.5714285714286,NA,NA,NA,NA,NA,0
54.4601483967691,NA,NA,23280,NA,0,0,0,34.5714285714286,30.8571428571429,47.4285714285714,78.8571428571429,60,38.2857142857143,54.8571428571429,76.5714285714286,87.2857142857143,20.4285714285714,53.8571428571429,52.5714285714286,NA,NA,NA,NA,NA,66.4285714285714,NA,NA,NA,NA,NA,0
54.6456169380792,NA,NA,23260,NA,0,0,0,34.7142857142857,30.5714285714286,48.2857142857143,78.5714285714286,57,37.8571428571429,49.5714285714286,75.7142857142857,87.8571428571429,20.2857142857143,54.5714285714286,50.7142857142857,NA,NA,NA,NA,NA,66.2857142857143,NA,NA,NA,NA,NA,0
55.6536518510878,NA,NA,23325,NA,0,0,0,34.8571428571429,30.2857142857143,49.1428571428571,78.2857142857143,54,37.4285714285714,44.2857142857143,74.8571428571429,88.4285714285714,20.1428571428571,55.2857142857143,48.8571428571429,NA,NA,NA,NA,NA,66.1428571428571,NA,NA,NA,NA,NA,0
55.2317310241546,NA,NA,23390,0,0,0,0,35,30,50,78,51,37,39,74,89,20,56,47,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,0
54.3930434660433,NA,NA,23455,0,0,0,0,34.7142857142857,30.2857142857143,48.1428571428571,77.5714285714286,52.4285714285714,37.2857142857143,41.4285714285714,74.2857142857143,87.2857142857143,20,57.1428571428571,48.7142857142857,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,0
53.5895491579997,NA,NA,23547,0,0,0,0,34.4285714285714,30.5714285714286,46.2857142857143,77.1428571428571,53.8571428571429,37.5714285714286,43.8571428571429,74.5714285714286,85.5714285714286,20,58.2857142857143,50.4285714285714,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,0
53.6189076732909,NA,NA,23485,0,0,0,0,34.1428571428571,30.8571428571429,44.4285714285714,76.7142857142857,55.2857142857143,37.8571428571429,46.2857142857143,74.8571428571429,83.8571428571429,20,59.4285714285714,52.1428571428571,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,0
